,date,open,close,high,low,volume,code
1725,2014-03-11,3.023,3.023,3.052,2.985,836860.0,600050
1726,2014-03-12,3.013,2.956,3.013,2.908,1025275.0,600050
1727,2014-03-13,2.956,2.956,3.013,2.937,1085870.0,600050
1728,2014-03-14,2.946,2.956,2.956,2.917,615058.0,600050
1729,2014-03-17,2.956,2.965,2.965,2.927,753128.0,600050
1730,2014-03-18,2.965,2.937,2.975,2.937,701571.0,600050
1731,2014-03-19,2.946,2.946,2.956,2.917,677116.0,600050
1732,2014-03-20,2.937,2.898,2.937,2.898,847078.0,600050
1733,2014-03-21,2.889,2.965,2.975,2.879,1058530.0,600050
1734,2014-03-24,2.965,2.994,3.013,2.937,1475160.0,600050
1735,2014-03-25,2.975,2.985,2.994,2.965,677347.0,600050
1736,2014-03-26,2.975,2.965,2.994,2.956,428991.0,600050
1737,2014-03-27,2.965,2.937,2.975,2.927,680235.0,600050
1738,2014-03-28,2.937,2.965,2.985,2.927,746633.0,600050
1739,2014-03-31,2.975,2.937,2.975,2.927,512123.0,600050
1740,2014-04-01,2.946,2.937,2.956,2.917,490938.0,600050
1741,2014-04-02,2.946,2.965,2.975,2.927,720656.0,600050
1742,2014-04-03,2.975,2.946,2.975,2.927,729527.0,600050
1743,2014-04-04,2.937,2.946,2.956,2.927,583754.0,600050
1744,2014-04-08,2.946,2.994,3.004,2.927,1580459.0,600050
1745,2014-04-09,2.994,3.004,3.004,2.985,683478.0,600050
1746,2014-04-10,2.994,3.042,3.061,2.975,1603259.0,600050
1747,2014-04-11,3.033,3.033,3.052,3.023,1120224.0,600050
1748,2014-04-14,3.033,3.013,3.033,3.004,550993.0,600050
1749,2014-04-15,3.013,2.975,3.013,2.965,719430.0,600050
1750,2014-04-16,2.985,2.994,3.004,2.975,471309.0,600050
1751,2014-04-17,2.994,2.994,3.023,2.985,448073.0,600050
1752,2014-04-18,3.023,3.013,3.052,3.004,942131.0,600050
1753,2014-04-21,2.985,2.956,3.013,2.956,641110.0,600050
1754,2014-04-22,2.956,3.033,3.224,2.937,1983675.0,600050
1755,2014-04-23,2.985,2.965,3.004,2.956,1105737.0,600050
1756,2014-04-24,2.965,2.965,2.994,2.956,505578.0,600050
1757,2014-04-25,2.975,2.937,2.985,2.927,734157.0,600050
1758,2014-04-28,2.937,2.917,2.946,2.889,940734.0,600050
1759,2014-04-29,2.917,2.946,2.956,2.898,533734.0,600050
1760,2014-04-30,2.965,3.052,3.071,2.956,2547203.0,600050
1761,2014-05-05,3.004,2.994,3.023,2.965,1264399.0,600050
1762,2014-05-06,2.994,3.023,3.061,2.985,1207462.0,600050
1763,2014-05-07,3.023,3.033,3.042,2.994,708730.0,600050
1764,2014-05-08,3.033,3.09,3.109,3.023,1674328.0,600050
1765,2014-05-09,3.061,3.1,3.138,3.061,1898172.0,600050
1766,2014-05-12,3.128,3.119,3.167,3.071,1392599.0,600050
1767,2014-05-13,3.109,3.224,3.34,3.109,3597986.0,600050
1768,2014-05-14,3.215,3.186,3.253,3.167,993466.0,600050
1769,2014-05-15,3.176,3.109,3.215,3.071,1380627.0,600050
1770,2014-05-16,3.1,3.109,3.119,3.061,619777.0,600050
1771,2014-05-19,3.1,3.081,3.1,3.052,550044.0,600050
1772,2014-05-20,3.061,3.061,3.09,3.013,1252765.0,600050
1773,2014-05-21,3.042,3.071,3.071,3.023,410806.0,600050
1774,2014-05-22,3.081,3.081,3.157,3.052,723682.0,600050
1775,2014-05-23,3.081,3.09,3.109,3.052,566769.0,600050
1776,2014-05-26,3.1,3.071,3.109,3.052,598719.0,600050
1777,2014-05-27,3.1,3.081,3.1,3.081,385761.0,600050
1778,2014-05-28,3.081,3.12,3.129,3.071,534660.0,600050
1779,2014-05-29,3.129,3.1,3.139,3.1,317171.0,600050
1780,2014-05-30,3.1,3.139,3.149,3.09,647155.0,600050
1781,2014-06-03,3.129,3.081,3.149,3.081,556717.0,600050
1782,2014-06-04,3.09,3.071,3.1,3.051,372322.0,600050
1783,2014-06-05,3.071,3.1,3.12,3.061,482999.0,600050
1784,2014-06-06,3.1,3.081,3.1,3.061,283395.0,600050
1785,2014-06-09,3.071,3.071,3.11,3.061,430742.0,600050
1786,2014-06-10,3.081,3.09,3.09,3.032,750541.0,600050
1787,2014-06-11,3.081,3.081,3.09,3.061,351131.0,600050
1788,2014-06-12,3.071,3.061,3.081,3.051,334517.0,600050
1789,2014-06-13,3.061,3.071,3.09,3.051,533259.0,600050
1790,2014-06-16,3.081,3.12,3.12,3.061,813507.0,600050
1791,2014-06-17,3.11,3.081,3.11,3.061,504650.0,600050
1792,2014-06-18,3.081,3.071,3.09,3.051,498944.0,600050
1793,2014-06-19,3.071,3.081,3.168,3.051,1189860.0,600050
1794,2014-06-20,3.081,3.1,3.129,3.051,837425.0,600050
1795,2014-06-23,3.1,3.081,3.129,3.081,589827.0,600050
1796,2014-06-24,3.081,3.139,3.149,3.081,1026307.0,600050
1797,2014-06-25,3.12,3.159,3.188,3.11,992036.0,600050
1798,2014-06-26,3.159,3.198,3.227,3.149,1157261.0,600050
1799,2014-06-27,3.217,3.217,3.237,3.178,941858.0,600050
1800,2014-06-30,3.237,3.149,3.246,3.139,1122738.0,600050
1801,2014-07-01,3.159,3.188,3.198,3.139,536153.0,600050
1802,2014-07-02,3.178,3.207,3.237,3.178,899643.0,600050
1803,2014-07-03,3.207,3.246,3.256,3.198,816185.0,600050
1804,2014-07-04,3.246,3.227,3.266,3.207,472753.0,600050
1805,2014-07-07,3.227,3.217,3.227,3.188,453445.0,600050
1806,2014-07-08,3.217,3.227,3.246,3.188,379832.0,600050
1807,2014-07-09,3.217,3.178,3.227,3.159,419073.0,600050
1808,2014-07-10,3.178,3.276,3.295,3.168,1582695.0,600050
1809,2014-07-11,3.256,3.315,3.354,3.256,1104358.0,600050
1810,2014-07-14,3.315,3.344,3.402,3.315,909864.0,600050
1811,2014-07-15,3.344,3.276,3.383,3.266,1272411.0,600050
1812,2014-07-16,3.256,3.285,3.334,3.256,729080.0,600050
1813,2014-07-17,3.295,3.256,3.305,3.246,425619.0,600050
1814,2014-07-18,3.246,3.276,3.295,3.246,473290.0,600050
1815,2014-07-21,3.276,3.266,3.305,3.246,347677.0,600050
1816,2014-07-22,3.256,3.256,3.266,3.227,939374.0,600050
1817,2014-07-23,3.256,3.237,3.266,3.227,795458.0,600050
1818,2014-07-24,3.246,3.295,3.315,3.237,981355.0,600050
1819,2014-07-25,3.295,3.402,3.402,3.285,1732922.0,600050
1820,2014-07-28,3.412,3.432,3.451,3.393,1555002.0,600050
1821,2014-07-29,3.422,3.422,3.451,3.373,1214077.0,600050
1822,2014-07-30,3.432,3.451,3.471,3.402,1433673.0,600050
1823,2014-07-31,3.441,3.441,3.451,3.383,938590.0,600050
1824,2014-08-01,3.422,3.383,3.441,3.383,1390189.0,600050
1825,2014-08-04,3.383,3.51,3.529,3.373,1760880.0,600050
1826,2014-08-05,3.49,3.51,3.519,3.48,817581.0,600050
1827,2014-08-06,3.49,3.48,3.5,3.441,801526.0,600050
1828,2014-08-07,3.471,3.402,3.471,3.393,1205513.0,600050
1829,2014-08-08,3.412,3.412,3.432,3.363,1032787.0,600050
1830,2014-08-11,3.412,3.451,3.471,3.402,1034040.0,600050
1831,2014-08-12,3.441,3.402,3.451,3.393,1076670.0,600050
1832,2014-08-13,3.412,3.412,3.432,3.373,741469.0,600050
1833,2014-08-14,3.402,3.402,3.441,3.393,640176.0,600050
1834,2014-08-15,3.393,3.49,3.51,3.393,1453440.0,600050
1835,2014-08-18,3.49,3.48,3.5,3.441,722873.0,600050
1836,2014-08-19,3.48,3.48,3.49,3.422,1165309.0,600050
1837,2014-08-20,3.461,3.432,3.461,3.412,766013.0,600050
1838,2014-08-21,3.432,3.393,3.432,3.363,965890.0,600050
1839,2014-08-22,3.383,3.402,3.402,3.373,486039.0,600050
1840,2014-08-25,3.393,3.344,3.402,3.305,1455374.0,600050
1841,2014-08-26,3.324,3.295,3.344,3.276,903298.0,600050
1842,2014-08-27,3.295,3.315,3.334,3.295,592961.0,600050
